timestamp,person,bicycle,car,motorcycle,bus,truck,total_vehicles
2017-09-10 21:10:00,0,0,302,0,0,0,302
2017-09-10 21:11:00,0,0,440,0,0,2,442
2017-09-10 21:12:00,0,0,171,0,0,0,171
2017-09-10 21:13:00,1,0,254,0,0,0,255
2017-09-10 21:14:00,4,0,324,0,0,0,328
2017-09-10 21:15:00,4,0,314,0,4,2,324
2017-09-10 21:16:00,5,0,384,0,0,2,391
2017-09-10 21:17:00,4,0,241,0,1,2,248
2017-09-10 21:18:00,2,0,515,0,0,2,519
2017-09-10 21:19:00,7,0,314,0,0,0,321
2017-09-10 21:20:00,13,0,309,0,0,0,322
2017-09-10 21:21:00,3,0,428,0,0,0,431
2017-09-10 21:22:00,2,0,172,0,3,0,177
2017-09-10 21:23:00,5,0,269,0,0,0,274
2017-09-10 21:24:00,4,0,241,0,0,0,245
2017-09-10 21:25:00,17,0,318,0,9,2,346
2017-09-10 21:26:00,18,0,495,0,0,0,513
2017-09-10 21:27:00,23,0,375,0,0,0,398
2017-09-10 21:28:00,30,0,386,0,0,1,417
2017-09-10 21:29:00,48,0,201,0,2,6,257
2017-09-10 21:30:00,24,0,201,0,0,4,229
2017-09-10 21:31:00,82,0,304,0,0,1,387
2017-09-10 21:32:00,71,0,285,0,0,1,357
2017-09-10 21:33:00,67,0,226,0,0,0,293
2017-09-10 21:34:00,36,0,393,0,0,0,429
2017-09-10 21:35:00,39,0,288,0,1,2,330
2017-09-10 21:36:00,37,0,318,0,0,0,355
2017-09-10 21:37:00,51,0,198,0,0,0,249
2017-09-10 21:38:00,24,0,359,0,0,2,385
2017-09-10 21:39:00,18,0,475,0,0,0,493
2017-09-10 21:40:00,40,0,287,0,0,0,327
2017-09-10 21:41:00,32,0,274,0,2,7,315
2017-09-10 21:42:00,22,0,474,0,2,0,498
2017-09-10 21:43:00,15,0,407,0,0,0,422
2017-09-10 21:44:00,11,0,334,0,2,4,351
2017-09-10 21:45:00,41,0,145,0,1,0,187
2017-09-10 21:46:00,22,0,320,0,0,0,342
2017-09-10 21:47:00,24,0,200,0,0,0,224
2017-09-10 21:48:00,17,0,347,0,0,1,365
2017-09-10 21:49:00,12,0,241,0,0,0,253
2017-09-10 21:50:00,11,0,192,0,0,0,203
2017-09-10 21:51:00,5,0,145,1,0,0,151
2017-09-10 21:52:00,11,0,139,0,0,0,150
2017-09-10 21:53:00,6,0,302,0,0,0,308
2017-09-10 21:54:00,22,0,109,0,0,0,131
2017-09-10 21:55:00,5,0,185,1,0,0,191
2017-09-10 21:56:00,11,0,151,0,0,0,162
2017-09-10 21:57:00,12,0,167,0,0,0,179
